CEP,NUM,LATITUDE,LONGITUDE
65086282,109,-2.5595380,-44.3363651
65058151,108,-2.5462064,-44.2183989
65041380,108,-2.5438721,-44.2604585
65020402,108,-2.5254545,-44.2902796
65067283,108,-2.5090059,-44.2319749
65058797,107,-2.5938836,-44.1910808
65054225,107,-2.5394499,-44.2061395
65058790,107,-2.5965082,-44.1902269
65058710,107,-2.5772893,-44.1897674
65010030,107,-2.5333646,-44.3035807
65065390,107,-2.4834874,-44.2284581
65062830,106,-2.5189357,-44.2425989
65030350,106,-2.5481714,-44.2834102
65048790,106,-2.5468988,-44.2451241
65091200,106,-2.6310598,-44.3205553
65080100,106,-2.5624624,-44.3198784
65067868,106,-2.4891331,-44.2207855
65055050,106,-2.5705746,-44.2262233
65041210,106,-2.5642248,-44.2677694
65046830,106,-2.5405060,-44.2569211
65073580,105,-2.5103400,-44.2338940
65040340,105,-2.5611579,-44.2593134
65080800,105,-2.5560704,-44.3131243
65081430,105,-2.5721388,-44.3120281
65065100,105,-2.5085499,-44.3036501
65061060,104,-2.5308749,-44.2592106
65082467,104,-2.5516769,-44.3335884
65057330,104,-2.5590108,-44.2320197
65026060,104,-2.5406049,-44.2939347
65063370,104,-2.5366536,-44.2298315
65015086,104,-2.5433046,-44.2507686
65066680,104,-2.5026713,-44.2253703
65080420,104,-2.5575136,-44.3061009
65010120,104,-2.5264774,-44.3008839
65085277,104,-25.5459334,-54.5497923
65025070,104,-2.5350015,-44.2950358
65031127,103,-2.5373800,-44.2872420
65085299,103,-2.5391099,-44.2829046
65077550,103,-2.5004804,-44.3122831
65085306,103,-2.5570370,-44.3337571
65036490,103,-2.5397041,-44.2756442
65040770,103,-2.5405617,-44.2638193
65051550,103,-2.5391099,-44.2829046
65071510,103,-2.5438633,-44.2654911
65058156,102,-2.5758351,-44.1992018
65066290,102,-2.5144041,-44.2271976
65075350,102,-19.8268251,-43.9494327
65042500,102,-2.5501685,-44.2672191
65035010,102,-2.5267398,-44.2846719
65035070,102,-2.5278946,-44.2798923
65036240,102,-2.5369835,-44.2686279
65044520,102,-2.5657689,-44.2746258
65068480,101,-2.4862232,-44.2307513
65057739,101,-2.5979610,-44.2196118
65074220,101,-2.5218030,-44.2479161
65045140,101,-2.5437161,-44.2466718
65070210,101,-2.5246183,-44.2601991
65085581,101,-2.5633091,-44.3175730
65068460,101,-2.5034252,-44.2121958
65058820,101,-2.5944714,-44.1884748
65042860,101,-2.5391099,-44.2829046
65085308,100,-2.5424143,-44.2214258
65041810,100,-2.5275988,-44.2927484
65044310,100,-2.5689282,-44.2616819
65060770,100,-2.5391099,-44.2829046
65040330,100,-2.5653653,-44.2642491
65053770,100,-2.5394035,-44.2055037
65060300,100,-2.5139044,-44.2252385
65065580,100,-2.5138532,-44.2100796
65070685,99,-2.5641243,-44.2642957
65051090,99,-2.5408338,-44.2206043
65057645,99,-2.5949391,-44.2201255
65058652,99,-2.5928012,-44.2186954
65061240,99,-2.5391099,-44.2829046
65075400,99,-2.5051212,-44.2953412
65020400,99,-2.5254610,-44.2902639
65081337,99,-2.5685786,-44.3109477
65076210,99,-2.5139655,-44.3002247
65082290,99,-2.5461839,-44.3283655
65082471,99,-2.5516769,-44.3335884
65073300,99,-2.5105666,-44.2452567
65057657,99,-2.5947530,-44.2223270
65055362,98,-2.5688665,-44.2144591
65092070,98,-2.6086016,-44.1922834
65031540,98,-2.5369407,-44.2830296
65076100,98,-2.5119043,-44.2992502
65042245,98,-2.5550618,-44.2702840
65058248,98,-2.5634882,-44.1970652
65063180,97,-2.5267013,-44.2307639
65054640,97,-2.5369977,-44.2002241
65093060,97,-2.5361999,-44.2357304
65073830,97,-2.5391099,-44.2829046
65086799,97,-2.5595380,-44.3363651
65061110,97,-2.5331489,-44.2582847
65081301,97,-2.5662733,-44.3145622
65020120,97,-2.5270258,-44.2951638
65046820,97,-2.5436790,-44.2395582
65031130,97,-2.5555260,-44.2158243
65045271,97,-2.5582798,-44.2438671
65053210,97,-2.5391099,-44.2829046
65046475,96,-16.7617099,-49.2784003
65066540,96,-2.5391099,-44.2829046
65090873,96,-2.5546198,-44.2576326
65044280,96,-2.5678759,-44.2621608
